Year,Type,Compensation,Goods_Services,CapEx,Training,Depreciation,Total_LC,Total_Cost,LC_Score_%,Scenario
2021,Actual,31718189.19,36615275.0,0.0,10321.0,8023705.2,76367490.39,289923260.95204604,26.340587553832513,base
2022,Actual,35714213.862258404,46611594.45082506,0.0,1376612.0,4436842.6,88139262.91308346,280447546.6157,31.428074153867193,base
2023,Actual,36893587.62022094,58111403.34515629,0.0,81244.0,3834302.0,98920536.96537723,259740843.97059998,38.08432106910919,base
2024,Actual,51836108.522,104271291.0,0.0,263861.19419354864,4509641.9,160880902.61619356,471881649.6454,34.09348567317442,base
2025,Forecast,55982997.203760006,116783845.92000002,0.0,290247.3136129035,4509641.9,177566732.33737293,509632181.617032,34.84213492443991,base
2026,Forecast,60461636.98006081,130797907.43040001,0.0,319272.0449741939,4509641.9,196088458.35543504,550402756.1463946,35.62635836497882,base
2027,Forecast,65298567.93846567,146493656.32204804,0.0,351199.2494716133,4509641.9,216653065.40998533,594434976.6381062,36.4468905640935,base
2028,Forecast,70522453.37354293,164072895.0806938,0.0,386319.17441877467,4509641.9,239491309.52865553,641989774.7691548,37.30453644916249,base
2021,Actual,31718189.19,36615275.0,0.0,10321.0,8023705.2,76367490.39,289923260.95204604,26.340587553832513,conservative
2022,Actual,35714213.862258404,46611594.45082506,0.0,1376612.0,4436842.6,88139262.91308346,280447546.6157,31.428074153867193,conservative
2023,Actual,36893587.62022094,58111403.34515629,0.0,81244.0,3834302.0,98920536.96537723,259740843.97059998,38.08432106910919,conservative
2024,Actual,51836108.522,104271291.0,0.0,263861.19419354864,4509641.9,160880902.61619356,471881649.6454,34.09348567317442,conservative
2025,Forecast,54427913.9481,112612994.28,0.0,279692.86584516155,4509641.9,171830242.99394518,495475732.12767,34.67985046534417,conservative
2026,Forecast,57149309.645505,121622033.8224,0.0,296474.4377958713,4509641.9,183577459.8057009,520249518.7340535,35.2864256851997,conservative
2027,Forecast,60006775.12778026,131351796.52819201,0.0,314262.9040636236,4509641.9,196182476.4600359,546261994.6707562,35.91362356780454,conservative
2028,Forecast,63007113.88416927,141859940.2504474,0.0,333118.678307441,4509641.9,209709814.71292412,573575094.4042941,36.56187598778594,conservative
2021,Actual,31718189.19,36615275.0,0.0,10321.0,8023705.2,76367490.39,289923260.95204604,26.340587553832513,optimistic
2022,Actual,35714213.862258404,46611594.45082506,0.0,1376612.0,4436842.6,88139262.91308346,280447546.6157,31.428074153867193,optimistic
2023,Actual,36893587.62022094,58111403.34515629,0.0,81244.0,3834302.0,98920536.96537723,259740843.97059998,38.08432106910919,optimistic
2024,Actual,51836108.522,104271291.0,0.0,263861.19419354864,4509641.9,160880902.61619356,471881649.6454,34.09348567317442,optimistic
2025,Forecast,58056441.544640005,120954697.55999999,0.0,303440.3733225809,4509641.9,183824221.3779626,528507447.60284805,34.78176555727537,optimistic
2026,Forecast,65023214.52999681,140307449.16959998,0.0,348956.42932096805,4509641.9,210189262.02891776,591928341.3151898,35.509241129070425,optimistic
2027,Forecast,72826000.27359644,162756641.03673595,0.0,401299.8937191132,4509641.9,240493583.1040515,662959742.2730128,36.275744629605896,optimistic
2028,Forecast,81565120.30642802,188797703.60261372,0.0,461494.8777769801,4509641.9,275333960.6868187,742514911.3457743,37.08127021823555,optimistic
